Title,Sex.x,Age,Skinny,Date_Time,Year,Sex.y,Age_Class,Strength,Degree,Betweenness,Eigenvector
1147,FemaleJ,Adult,No,1999-08-18,1999,FemaleJ,Adult,10.2651515151515,29,0.0401754385964912,0.407289060208469
1147,FemaleJ,Adult,No,2006-07-26,2006,FemaleJ,Adult,4.11904761904762,7,0.0988505747126437,0.0500631305058962
1147,FemaleJ,Adult,No,2006-08-01,2006,FemaleJ,Adult,4.11904761904762,7,0.0988505747126437,0.0500631305058962
1147,FemaleJ,Adult,No,2010-07-24,2010,FemaleJ,Adult,5.33982683982684,16,0.00798764727336156,0.206021783009475
1147,FemaleJ,Adult,No,2010-07-28,2010,FemaleJ,Adult,5.33982683982684,16,0.00798764727336156,0.206021783009475
1147,FemaleJ,Adult,No,2010-07-30,2010,FemaleJ,Adult,5.33982683982684,16,0.00798764727336156,0.206021783009475
1147,FemaleJ,Adult,No,2010-08-03,2010,FemaleJ,Adult,5.33982683982684,16,0.00798764727336156,0.206021783009475
1147,FemaleJ,Adult,No,2015-08-03,2015,FemaleJ,Adult,1.66666666666667,2,0,0.00134076540713056
1148,NA,Adult,No,1996-08-25,1996,NA,Adult,9.05714285714286,17,0.0249176400119796,0.900635300762821
1148,NA,Adult,No,1996-08-27,1996,NA,Adult,9.05714285714286,17,0.0249176400119796,0.900635300762821
115,NA,Adult,No,1989-08-10,1989,NA,Adult,5.85238095238095,9,0,0.62925267442947
115,NA,Adult,No,1990-08-05,1990,NA,Adult,2.09848484848485,6,0,0.126477795334046
115,NA,Adult,No,1990-08-09,1990,NA,Adult,2.09848484848485,6,0,0.126477795334046
1152,NA,Adult,No,1996-08-27,1996,NA,Adult,2,2,0,0
1153,NA,Adult,No,1996-08-27,1996,NA,Adult,2,2,0,0
1155,FemaleJ,Adult,No,1996-08-27,1996,FemaleJ,Adult,6.5,9,0,0.832055751078106
1155,FemaleJ,Adult,No,1998-07-19,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-07-23,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-07-26,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-07-27,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-07-28,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-08-08,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-08-09,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-08-15,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-08-20,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1155,FemaleJ,Adult,No,1998-08-21,1998,FemaleJ,Adult,4.90226728895459,24,0.128851540616246,0.593554789830372
1158,NA,Adult,No,1996-08-27,1996,NA,Adult,7.16666666666667,10,0,0.873242105566369
116,NA,Adult,No,1989-08-10,1989,NA,Adult,2.16666666666667,3,0,0.297012349935432
1160,NA,Adult,No,1996-08-27,1996,NA,Adult,6.5,9,0,0.832055751078106
1163,FemaleJ,Juvenile,No,1996-08-27,1996,FemaleJ,Juvenile,7.66666666666667,11,0,0.915400405660877
1168,NA,Adult,No,1996-08-27,1996,NA,Adult,1.8,3,0,0.0499749123302744
1173,Male,Adult,No,1996-08-27,1996,Male,Adult,2.66666666666667,4,5.3908355795148e-4,0
1173,Male,Adult,No,1996-08-28,1996,Male,Adult,2.66666666666667,4,5.3908355795148e-4,0
1173,Male,Adult,No,2001-08-30,2001,Male,Adult,10,11,5.13610683102209e-5,0.893344469774421
1174,FemaleJ,Adult,No,1996-08-27,1996,FemaleJ,Adult,2.66666666666667,3,0,3.34614576278551e-18
1176,NA,Adult,No,1996-08-27,1996,NA,Adult,2.16666666666667,3,0,0.0400519384874935
1179,Male,Adult,No,1996-08-27,1996,Male,Adult,2.16666666666667,3,0,0.0400519384874935
118,Male,Adult,No,1989-08-10,1989,Male,Adult,4.11904761904762,6,0,0.489048489676761
118,Male,Adult,No,1998-07-14,1998,Male,Adult,4.04308191808192,12,0.00854341736694678,0.377519810114613
118,Male,Adult,No,1998-07-19,1998,Male,Adult,4.04308191808192,12,0.00854341736694678,0.377519810114613
118,Male,Adult,No,1998-07-20,1998,Male,Adult,4.04308191808192,12,0.00854341736694678,0.377519810114613
118,Male,Adult,No,1998-07-27,1998,Male,Adult,4.04308191808192,12,0.00854341736694678,0.377519810114613
118,Male,Adult,No,1998-07-28,1998,Male,Adult,4.04308191808192,12,0.00854341736694678,0.377519810114613
118,Male,Adult,No,1998-07-29,1998,Male,Adult,4.04308191808192,12,0.00854341736694678,0.377519810114613
1183,NA,Adult,No,1996-06-09,1996,NA,NA,NA,NA,NA,NA
1185,NA,Adult,No,1996-06-12,1996,NA,Adult,3.75,7,0,0.00916606504236995
119,NA,Adult,No,1989-08-10,1989,NA,Adult,6.18571428571429,9,0,0.661336281145824
1190,NA,Adult,No,1996-08-28,1996,NA,NA,0.666666666666667,1,0,0
120,Male,Adult,No,1989-08-10,1989,Male,Adult,4.11904761904762,6,0,0.489048489676761
120,Male,Adult,No,1996-06-09,1996,Male,Adult,3.61904761904762,10,0.0726265348906858,0.0569309915077509
120,Male,Adult,No,1996-06-17,1996,Male,Adult,3.61904761904762,10,0.0726265348906858,0.0569309915077509
120,Male,Adult,Yes,1996-06-22,1996,Male,Adult,3.61904761904762,10,0.0726265348906858,0.0569309915077509
120,Male,Adult,No,1997-06-11,1997,Male,Adult,2.5,3,0,0.130257775502873
120,Male,Adult,No,1999-08-12,1999,Male,Adult,5.46904761904762,11,0.00105263157894737,0.107689960311903
120,Male,Adult,No,1999-08-17,1999,Male,Adult,5.46904761904762,11,0.00105263157894737,0.107689960311903
120,Male,Adult,No,2002-08-05,2002,Male,Adult,2.76825396825397,7,0.0401644157369348,6.4913234698676e-4
120,Male,Adult,No,2002-08-08,2002,Male,Adult,2.76825396825397,7,0.0401644157369348,6.4913234698676e-4
120,Male,Adult,No,2002-08-14,2002,Male,Adult,2.76825396825397,7,0.0401644157369348,6.4913234698676e-4
120,Male,Adult,No,2002-08-27,2002,Male,Adult,2.76825396825397,7,0.0401644157369348,6.4913234698676e-4
120,Male,Adult,No,2003-08-28,2003,Male,Adult,3.83333333333333,6,0.0188652073732719,0.376955809593977
120,Male,Adult,No,2003-08-29,2003,Male,Adult,3.83333333333333,6,0.0188652073732719,0.376955809593977
120,Male,Adult,No,2006-07-28,2006,Male,Adult,1,1,0,0
120,Male,Adult,Yes,2013-09-06,2013,Male,Adult,5.4,9,0,0.789939959065469
120,Male,Adult,Yes,2018-08-16,2018,NA,NA,NA,NA,NA,NA
1205,NA,Adult,No,1997-06-09,1997,NA,Adult,0.9,2,0,0.0209653615052352
1206,NA,Adult,No,1997-06-09,1997,NA,NA,NA,NA,NA,NA
1206,NA,Adult,No,1997-06-10,1997,NA,NA,NA,NA,NA,NA
1206,NA,Adult,No,1997-06-15,1997,NA,NA,NA,NA,NA,NA
1208,NA,Adult,No,1997-06-10,1997,NA,NA,NA,NA,NA,NA
1208,NA,Adult,No,1997-06-15,1997,NA,NA,NA,NA,NA,NA
1217,NA,Adult,No,1997-06-16,1997,NA,Adult,7.26904761904762,17,0.0401193633952255,0.83359498566404
1217,NA,Adult,No,1997-07-06,1997,NA,Adult,7.26904761904762,17,0.0401193633952255,0.83359498566404
1217,NA,Adult,No,1997-07-13,1997,NA,Adult,7.26904761904762,17,0.0401193633952255,0.83359498566404
1219,NA,Adult,No,1997-06-16,1997,NA,Adult,4.83333333333333,7,0,0.933717074480388
1220,NA,Adult,No,1997-06-16,1997,NA,Adult,7.19126984126984,17,0.0984748010610079,0.867724519917357
1220,NA,Adult,No,1997-07-06,1997,NA,Adult,7.19126984126984,17,0.0984748010610079,0.867724519917357
1220,NA,Adult,No,1997-07-13,1997,NA,Adult,7.19126984126984,17,0.0984748010610079,0.867724519917357
1221,NA,Adult,No,1997-06-16,1997,NA,Adult,4.2,8,2.210433244916e-4,0.789075843194038
1221,NA,Adult,No,1997-07-07,1997,NA,Adult,4.2,8,2.210433244916e-4,0.789075843194038
1227,NA,Adult,No,1997-06-16,1997,NA,Adult,1.83333333333333,3,0,0.301121775069729
1229,NA,Adult,No,1997-06-20,1997,NA,NA,NA,NA,NA,NA
