"Title","Sex","Age","Skinny","Date_Time"
"1337","FemaleJ","Adult","No",1998-07-19
"1337","FemaleJ","Adult","No",1998-07-20
"134",NA,"Adult","No",1989-08-11
"134",NA,"Adult","No",1990-08-08
"134",NA,"Adult","No",1990-08-09
"1344","FemaleJ","Adult","No",1997-08-18
"1345","Male","Adult","No",1997-08-18
"1346","FemaleJ","Adult","No",1997-08-18
"1348",NA,"Adult","No",1997-08-19
"135",NA,"Adult","No",1989-08-12
"1350",NA,"Adult","No",1997-08-20
"1351","FemaleJ","Adult","No",1997-08-16
"1351","FemaleJ","Adult","No",1997-08-20
"1354",NA,"Adult","No",1997-08-20
"1357","FemaleJ","Adult","No",1997-08-20
"1357","FemaleJ","Adult","No",1997-08-24
"1358","FemaleJ","Adult","No",1997-08-20
"1358","FemaleJ","Adult","No",1997-08-24
"1358","FemaleJ","Adult","No",1997-08-25
"1358","FemaleJ","Adult","No",1998-07-19
"1358","FemaleJ","Adult","No",1998-07-22
"1362","FemaleJ","Adult","No",1997-08-24
"1362","FemaleJ","Adult","No",1997-08-25
"1364","FemaleJ","Adult","No",1997-08-25
"1364","FemaleJ","Adult","No",2001-03-01
"1364","FemaleJ","Adult","No",2001-08-28
"1364","FemaleJ","Adult","No",2002-08-27
"1364","FemaleJ","Adult","No",2011-08-19
"1364","FemaleJ","Adult","No",2011-08-25
"1364","FemaleJ","Adult","No",2016-07-25
"1364","FemaleJ","Adult","Yes",2018-08-16
"1369",NA,"Adult","No",1997-08-25
"137",NA,"Adult","No",1989-08-12
"1370","FemaleJ","Adult","No",1997-08-25
"138",NA,"Adult","No",1989-08-11
"14",NA,"Adult","No",1989-07-24
"1404","FemaleJ","Adult","No",1998-07-14
"1404","FemaleJ","Adult","No",1998-08-15
"1404","FemaleJ","Adult","No",1998-08-16
"141",NA,"Adult","No",1989-08-11
"141",NA,"Adult","No",1989-08-13
"1410",NA,"Juvenile","No",1998-07-19
"1410",NA,"Juvenile","No",1998-07-20
"1410",NA,"Juvenile","No",1998-08-19
"1414","FemaleJ","Adult","No",1998-07-19
"1414","FemaleJ","Adult","No",1998-07-20
"1417","FemaleJ","Adult","No",1998-07-19
"1417","FemaleJ","Adult","No",1998-07-20
"1417","FemaleJ","Adult","No",1998-07-22
"1418","FemaleJ","Adult","No",1998-08-17
"1418","FemaleJ","Adult","No",1998-08-20
"1420",NA,"Adult","No",1998-07-19
"1422","FemaleJ","Adult","No",1998-07-19
"1422","FemaleJ","Adult","No",1998-07-20
"1422","FemaleJ","Adult","No",1998-07-27
"1422","FemaleJ","Adult","No",1998-07-29
"1422","FemaleJ","Adult","No",1998-08-15
"1422","FemaleJ","Adult","No",1998-08-21
"1424","Male","Adult","No",1998-07-14
"1424","Male","Adult","No",1998-07-19
"1424","Male","Adult","No",1998-07-20
"1424","Male","Adult","No",1998-07-27
"1424","Male","Adult","No",1998-07-28
"1424","Male","Adult","No",1998-07-29
"1426",NA,"Adult","No",1998-07-19
"1426",NA,"Adult","No",1998-07-20
"1426",NA,"Adult","No",1998-07-27
"1429",NA,"Juvenile","No",1998-07-20
