"Title_A","Time_A","Title_B","Time_B"
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"8",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"1",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"8",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"1",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"8",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"1",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"3",1989-07-24 12:15:00,"2",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"8",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"1",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"8",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"1",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"8",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"1",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"2",1989-07-24 12:15:00,"3",1989-07-24 12:15:00
"14",1989-07-24 13:25:00,"17",1989-07-24 13:25:00
"14",1989-07-24 13:25:00,"17",1989-07-24 13:25:00
"17",1989-07-24 13:25:00,"14",1989-07-24 13:25:00
"17",1989-07-24 13:25:00,"14",1989-07-24 13:25:00
"22",1989-07-24 15:00:00,"13",1989-07-24 15:00:00
"13",1989-07-24 15:00:00,"22",1989-07-24 15:00:00
"13",1989-07-24 15:43:00,"26",1989-07-24 15:43:00
"13",1989-07-24 15:43:00,"26",1989-07-24 15:43:00
"13",1989-07-24 15:43:00,"24",1989-07-24 15:43:00
"13",1989-07-24 15:43:00,"1",1989-07-24 15:43:00
"13",1989-07-24 15:43:00,"26",1989-07-24 15:43:00
"13",1989-07-24 15:43:00,"26",1989-07-24 15:43:00
"13",1989-07-24 15:43:00,"24",1989-07-24 15:43:00
"13",1989-07-24 15:43:00,"1",1989-07-24 15:43:00
